genus,name,family,yellow fever virus,SARS,H5N1,HCPS,HFRS,South American hemorrhagic fever arenaviruses,Rift Valley fever virus,Marburg virus,Lassa fever virus,Ebola viruses,Crimean-Congo hemorrhagic fever virus,Tick-borne encephalitis virus complex,Venezuelan equine encephalitis virus,Rabies viruses,Nipah virus,Cercopithecine herpesvirus-1 ,Lymphocytic choriomeningitis virus
Acinonyx,Cheetah ,Felidae,0,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0
Ailuropoda ,Giant panda ,Ursidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aonyx,Clawless otter,Mustelidae,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aotus,Monkey,Aotidae,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Callithrix,Monkey,Cebidae,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
Canis,Canine,Canidae ,0,1,2,0,0,0,2,0,0,0,2,0,2,2,2,0,0
Caracal,Caracal,Felidae,0,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0
Cebus,Monkey,Cebidae,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
Cephalophus,Duiker antelope,Bovidae,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0,0,0
Cephalorhynchus,Dolphin,Delphinidae,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Ceratotherium ,White rhinoceros,Rhinocerotidae,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
Cercopithecus,Guenon,Cercopithecidae,2,0,1,0,0,0,0,2,0,1,0,0,0,1,0,1,0
Cerdocyon,Fox,Canidae ,0,1,1,0,0,0,1,0,0,0,1,0,1,2,1,0,0
Cervus,Deer,Cervidae,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Chaetophractus,Armadillo,Dasypodidae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chinchilla,Chincilla,Chinchillidae,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Chlorocebus,Monkey,Cercopithecidae,1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,2,0
Choloepus,Sloth,Megalonychidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Civettictis,African civet,Viverridae,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Colobus,Monkey ,Cercopithecidae,2,0,1,0,0,0,0,1,0,1,0,0,0,2,0,2,0
Cryptoprocta,Fosa,Viverridae,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Damaliscus,Antelope,Bovidae,0,0,0,0,0,0,1,0,0,1,2,1,1,2,0,0,0
Dasyprocta,Agouti,Dasyproctidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendrolagus,Kangaroo,Macropodidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eira,Tayra,Mustelidae,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Elephas,Asian elephant,Elephantidae,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Equus,Horse ,Equidae,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0
Felis,Cat,Felidae,0,2,2,0,0,0,2,0,0,0,2,0,0,2,2,0,0
Fossa,Malagasy civet ,Viverridae,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Galago,Galago,Galagidae,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Galictis,Grison,Mustelidae,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gazella,Gazelle,Bovidae,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0
