Country ,Cumulative number of case(s) ,Number of new cases since last WHO update ,Final Status ,Local chain(s) of transmission3,Date of last report
Number of deaths,"Number recovered
2"
Australia , 3,0,0, 3,None,17 Apr 2003
Brazil , 2,0,0, 0,None,16 Apr 2003
Canada ,132,"
0",12,54, Yes, 19 Apr 2003
China , 1959,"
447","
86",1187, Yes,"
     21 Apr 2003"
"China, Hong Kong Special Administrative Region4",1402,"
44","
94",436, Yes,"
     21 Apr 2003"
"China, Taiwan",29,0,0,17, Yes, 18 Apr 2003
France , 5,0,0,1, None,"
     21 Apr 2003"
Germany , 6, 0,0, 4, None,"
     21 Apr 2003"
India, 1,0,0,1, None,"
     21 Apr 2003"
Indonesia, 1,0,0,0, None, 19 Apr 2003
Italy , 3, 0,0,2, None,"
     21 Apr 2003"
Japan,"
     5",1,0, 0, None,"
     21 Apr 2003"
Kuwait, 1, 0,0, 1, None, 20 Apr 2003
Malaysia ,"
     6", 1,1, 0, None,"
     21 Apr 2003"
Mongolia, 3, 0,0,3, None, 17 Apr 2003
Philippines,"
    2", 1,"
    1", 1, None, 21 Apr 2003
Republic of Ireland , 1, 0,0, 1, None,"
     21 Apr 2003"
Romania , 1, 0,0, 1, None, 21 Apr 2003
Singapore ,"
    178",1,16,104, Yes, 20 Apr 2003
South Africa,1,0,0,0,None,9 Apr 2003
Spain , 1, 0,0, 0, None,"
     21 Apr 2003"
Sweden,3,"
0",0, 0, None, 21 Apr 2003
Switzerland , 1, 0,0, 1, None,"
     21 Apr 2003"
Thailand , 7,0,2, 5, None,"
    21 Apr 2003"
United Kingdom , 6,0,0, 5, Yes,"
     21 Apr 2003"
United States5,"
    39",not applicable,0, not available,Yes,21 Apr 2003
Viet Nam , 63, 0,5, 46, Yes, 17 Apr 2003
Total ,"
    3861","
495","
    217",1873, , 
