Country   ,Cumulative number of case(s)2  ,Number of new cases since last WHO update2   ,Final status/ Number of deaths   ,Final status/ Number recovered3,Local chain(s) of transmission4   ,Date of last report   
Australia   ,4   ,0   ,0   ,3   ,None   ,23-Apr-2003   
Brazil   ,2   ,0   ,0   ,2   ,None   ,24-Apr-2003   
Bulgaria   ,1   ,0   ,0   ,0   ,None   ,24-Apr-2003   
Canada   ,142  ,2  ,18  ,77  ,Yes   ,26-Apr-2003   
China   ,2753  ,154  ,122  ,1285  ,Yes   ,26-Apr-2003   
"China, Hong Kong Special Administrative Region5   ",1527  ,17   ,121   ,632   ,Yes   ,26-Apr-2003   
"China, Taiwan   ",49   ,8   ,0   ,25   ,Yes   ,25-Apr-2003   
France   ,5   ,0   ,0   ,1   ,None   ,21-Apr-2003   
Germany   ,7   ,0   ,0   ,6   ,None   ,25-Apr-2003   
India   ,1   ,0   ,0   ,1   ,None   ,21-Apr-2003   
Indonesia   ,1   ,0   ,0   ,1   ,None   ,23-Apr-2003   
Italy   ,4   ,0   ,0   ,3   ,None   ,24-Apr-2003   
Japan   ,2   ,0   ,0   ,0   ,None   ,26-Apr-2003   
Kuwait   ,1   ,0   ,0   ,1   ,None   ,20-Apr-2003   
Malaysia   ,5   ,0   ,2   ,2   ,None   ,24-Apr-2003   
Mongolia   ,5   ,2   ,0   ,3   ,None   ,26-Apr-2003   
Philippines   ,4   ,2   ,2   ,1   ,None   ,26-Apr-2003   
Republic of Ireland   ,1   ,0   ,0   ,1   ,None   ,24-Apr-2003   
Romania   ,1   ,0   ,0   ,1   ,None   ,22-Apr-2003   
Singapore   ,198   ,3   ,21   ,126   ,Yes   ,26-Apr-2003   
South Africa   ,1   ,0   ,0   ,0   ,None   ,9-Apr-2003   
Spain   ,1   ,0   ,0   ,1   ,None   ,24-Apr-2003   
Sweden   ,3   ,0   ,0   ,2   ,None   ,23-Apr-2003   
Switzerland   ,1   ,0   ,0   ,1   ,None   ,21-Apr-2003   
Thailand   ,7   ,0   ,2   ,5   ,None   ,26-Apr-2003   
United Kingdom   ,6   ,0   ,0   ,6   ,Yes   ,26-Apr-2003   
United States   ,41   ,2   ,0   ,not available   ,Yes   ,25-Apr-2003   
Viet Nam   ,63   ,0   ,5   ,53   ,Yes   ,26-Apr-2003   
Total   ,4836   ,190   ,293   ,2239   ,  ,  
