Country,Cumulative number of case(s)^2,Number of new cases since last WHO update^2,Final status/ Number of deaths ,Final status/ Number recovered^3,Local chain(s) of transmission^4,Date of last report
Australia,4,0,0,4,None,1/May/2003
Brazil,2,0,0,2,None,24/Apr/2003
Bulgaria,1,0,0,0,None,28/Apr/2003
Canada ,147,0,20,87,Yes,1/May/2003
China,3638,187,170,1351,Yes,1/May/2003
"China, Hong Kong Special Administrative Region^5",1600,11,162,834,Yes,1/May/2003
"China, Macao Special Administrative Region ",1,0,0,0,None,30/Apr/2003
"China, Taiwan ",89,11,3,25,Yes,1/May/2003
France,5,0,0,1,None,21/Apr/2003
Germany ,7,0,0,7,None,30/Apr/2003
Indonesia,2,0,0,1,None,30/Apr/2003
Italy,9,0,0,4,None,30/Apr/2003
Japan,2,0,0,0,None,1/May/2003
Kuwait,1,0,0,1,None,20/Apr/2003
Malaysia,6,0,2,3,None,30/Apr/2003
Mongolia,6,0,0,3,Yes,30/Apr/2003
Philippines,4,0,2,1,None,28/Apr/2003
Poland,1,1,0,0,None,1/May/2003
Republic of Ireland,1,0,0,1,None,24/Apr/2003
Republic of Korea,1,0,0,0,None,1/May/2003
Romania,1,0,0,1,None,22/Apr/2003
Singapore ,201,0,25,143,Yes,1/May/2003
South Africa,1,0,0,0,None,9/Apr/2003
Spain,1,0,0,1,None,24/Apr/2003
Sweden,3,0,0,2,None,23/Apr/2003
Switzerland ,1,0,0,1,None,1/May/2003
Thailand ,7,0,2,5,None,30/Apr/2003
United Kingdom ,6,0,0,6,None,1/May/2003
United States,54,2,0,23,None,30/Apr/2003
Viet Nam,63,0,5,56,None,1/May/2003
Total ,5865,212,391,2563,,
