Country,Cumulative number of case(s)^2,Number of new cases since last WHO update^2,Number of deaths ,Number recovered^3,Date last probable case reported,Date for which cumulative number of cases is current
Australia,6,0,0,6,12/May/2003,27/May/2003
Brazil,2,0,0,2,10/Apr/2003,24/Apr/2003
Canada ,159,8,28,112,29/May/2003,29/May/2003
China,5328,7,328,3250,30/May/2003,30/May/2003
"China, Hong Kong Special Administrative Region^4",1736,4,274,1304,30/May/2003,30/May/2003
"China, Macao Special Administrative Region",1,0,0,0,21/May/2003,30/May/2003
"China, Taiwan ",667,7,81,125,30/May/2003,30/May/2003
Colombia,1,0,0,1,5/May/2003,5/May/2003
Finland,1,0,0,1,7/May/2003,20/May/2003
France,7,0,0,6,9/May/2003,22/May/2003
Germany ,9,0,0,9,9/May/2003,28/May/2003
India,3,0,0,3,13/May/2003,14/May/2003
Indonesia,2,0,0,2,23/Apr/2003,29/May/2003
Italy,9,0,0,9,29/Apr/2003,30/May/2003
Kuwait,1,0,0,1,9/Apr/2003,20/Apr/2003
Malaysia,5,0,2,3,20/May/2003,29/May/2003
Mongolia,9,0,0,9,6/May/2003,27/May/2003
New Zealand,1,0,0,1,30/Apr/2003,30/May/2003
Philippines,12,0,2,10,15/May/2003,30/May/2003
Republic of Ireland,1,0,0,1,21/Mar/2003,23/May/2003
Republic of Korea,3,0,0,3,14/May/2003,30/May/2003
Romania,1,0,0,1,27/Mar/2003,22/Apr/2003
Singapore ,206,0,31,165,18/May/2003,29/May/2003
South Africa,1,0,1,0,9/Apr/2003,3/May/2003
Spain,1,0,0,1,2/Apr/2003,7/May/2003
Sweden,3,0,0,3,18/Apr/2003,13/May/2003
Switzerland ,1,0,0,1,17/Mar/2003,16/May/2003
Thailand ,8,0,2,6,13/May/2003,28/May/2003
United Kingdom ,4,0,0,4,29/Apr/2003,30/May/2003
United States,66,0,0,32,27/May/2003,29/May/2003
Viet Nam,63,0,5,58,14/Apr/2003,14/May/2003
Total ,8317,26,754,5129,,
