Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,AR,NA,,,2,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,AT,NA,,2,3,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,AU,BE,CD,,1,skulls,,H,O
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,AU,IE,ZA,,1,skins,,P,O
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,BE,NA,,1,,skins,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,BE,NA,,1,2,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CA,NA,,,3,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CA,US,,,4,live,,Z,F
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CH,FR,NA,,1,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CN,ZA,,2,,bodies,,E,C
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CN,ZA,,3,,bodies,,E,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CN,ZA,,32,,live,,Z,C
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CR,NA,,,1,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,CZ,NA,,3,2,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,DE,NA,,6,6,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,DK,NA,,4,4,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,EE,NA,,5,5,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,ES,NA,,5,5,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,ES,ZA,NA,1,,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,ES,ZA,,4,,live,,B,D
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,FI,NA,,2,2,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,FR,NA,,5,11,trophies,,H,W
2018,I,Acinonyx jubatus,Mammalia,Carnivora,Felidae,Acinonyx,FR,NA,,23,,trophies,,P,W
