Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Callithrix argentata,Mammalia,Primates,Cebidae,Callithrix,GB,JE,GB,,3,specimens,,S,C
2018,II,Callithrix argentata,Mammalia,Primates,Cebidae,Callithrix,ID,CZ,,,1,live,,Z,C
2018,II,Callithrix argentata,Mammalia,Primates,Cebidae,Callithrix,RU,CZ,DE,,2,live,,T,C
2018,II,Callithrix argentata,Mammalia,Primates,Cebidae,Callithrix,SG,DE,,,1,live,,Z,C
2018,II,Callithrix argentata,Mammalia,Primates,Cebidae,Callithrix,TH,BE,CZ,2,2,live,,T,C
2018,II,Callithrix argentata,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,DE,2,,live,,B,C
2018,II,Callithrix argentata,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,DE,,2,live,,T,C
2018,II,Callithrix argentata,Mammalia,Primates,Cebidae,Callithrix,US,BO,XX,5,,specimens,,S,W
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,ID,CY,,,2,live,,Z,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,ID,CZ,,,2,live,,T,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,BE,CZ,6,6,live,,T,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,DE,4,,live,,B,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,DE,,4,live,,T,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,PL,1,,live,,B,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,PL,,1,live,,T,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,SK,1,,live,,B,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,SK,,1,live,,T,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,,4,,live,,B,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TH,CZ,,,4,live,,T,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TR,BE,,2,2,live,,Z,C
2018,II,Callithrix geoffroyi,Mammalia,Primates,Cebidae,Callithrix,TR,FR,,1,1,live,,Z,C
2018,II,Callithrix jacchus,Mammalia,Primates,Cebidae,Callithrix,CA,FR,,,6,live,,M,C
2018,II,Callithrix jacchus,Mammalia,Primates,Cebidae,Callithrix,CA,FR,,,24,live,,T,C
