Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AE,US,CA,,1,rug,,T,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AT,CA,,1,,trophies,,H,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AT,KZ,,1,1,trophies,,H,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AT,MN,,1,,skins,,P,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AT,RU,,,1,bodies,,P,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AT,RU,,,1,bodies,,Q,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AT,RU,,1,,trophies,,P,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AU,US,,,1,skins,,H,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AU,US,,,22,skulls,,S,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,AU,US,,,2,trophies,,H,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CA,CN,CA,,52,skins,,T,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CA,US,CA,,1,bodies,,Q,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CA,US,CA,,1,fur product (small),,P,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CA,US,CA,,2,rug,,T,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CA,US,CA,,7,skins,,T,R
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CA,US,,,17,skins,,T,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CA,US,,,74,skulls,,S,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CA,US,,,1,skulls,,T,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CH,CA,,3,,skins,,T,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CH,CA,,17,,trophies,,P,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CH,CA,,1,,unspecified,,P,W
2018,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,CH,DE,RU,2,2,trophies,,H,W
