Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,AE,IQ,XX,,1,claws,,E,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,AT,NA,,1,1,skins,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,AT,NA,,2,2,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,AT,ZA,,4,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,BE,NA,,,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,BE,ZA,,5,,skulls,,T,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,BE,ZA,,3,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,BG,NA,,1,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,BG,RU,,,1,live,,P,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,BG,ZA,,1,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,CH,ZA,,1,,skulls,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,CN,ZA,,1,,bodies,,E,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,CN,ZA,,23,,live,,T,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,CN,ZA,,22,,live,,Z,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,CZ,ZA,,2,,live,,T,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,CZ,ZA,,6,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,NA,,,1,rug,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,NA,,2,1,skins,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,NA,,1,1,skins,,P,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,NA,,10,8,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,NA,,,1,trophies,,P,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,ZA,,9,,live,,T,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,ZA,,1,,skins,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DE,ZA,,5,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DK,NA,,,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,DK,ZA,,23,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,EE,NA,,,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,ES,NA,,,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,ES,ZA,,2,,bodies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,ES,ZA,,1,,skins,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,ES,ZA,,2,,trophies,,H,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,ES,ZA,,15,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,FR,NA,,,3,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,FR,UA,CZ,1,,live,,Z,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,FR,ZA,,1,,bodies,,T,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,HU,NA,,1,2,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,HU,NA,,,2,trophies,,P,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,HU,ZA,,3,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,HU,ZA,,2,,trophies,,P,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,IT,NA,,,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,LT,NA,,,1,skins,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,LT,ZA,,2,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,MT,ZA,,1,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,MY,XX,ZA,2,,live,,T,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,NO,HU,ZA,,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,NO,NA,,1,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,NO,ZA,,4,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,PL,NA,,,1,skins,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,PL,UA,,3,,live,,T,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,PL,ZA,,3,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,RU,BE,,,1,live,,T,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,RU,DE,ZA,,8,live,,T,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,RU,DE,,,1,live,,T,C
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,RU,NA,,,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,SE,ZA,,6,,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,SK,NA,,1,1,trophies,,H,W
2018,II,Caracal caracal,Mammalia,Carnivora,Felidae,Caracal,SK,ZA,,3,,trophies,,H,W
