Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Cebus albifrons,Mammalia,Primates,Cebidae,Cebus,BE,ZA,,2,,skulls,,T,C
2018,II,Cebus albifrons,Mammalia,Primates,Cebidae,Cebus,NZ,ZA,,2,,bodies,,T,C
2018,II,Cebus albifrons,Mammalia,Primates,Cebidae,Cebus,UA,MD,UA,,1,live,,Q,C
2018,II,Cebus albifrons,Mammalia,Primates,Cebidae,Cebus,US,BO,,56,,specimens,,S,W
2018,II,Cebus albifrons,Mammalia,Primates,Cebidae,Cebus,US,CO,,,0.009,specimens,ml,S,W
2018,II,Cebus albifrons,Mammalia,Primates,Cebidae,Cebus,US,PE,,2,,specimens,ml,S,W
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,CA,US,,,4,live,,S,C
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,CN,GY,,50,,live,,B,W
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,CN,GY,,192,249,live,,T,W
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,CN,GY,,70,,live,,Z,W
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,CN,SR,,30,,live,,B,W
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,KW,SR,,20,,live,,B,W
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,KZ,RU,,,2,live,,Q,F
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,MD,UA,UA,1,,live,,Q,C
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,UA,MD,UA,,1,live,,Q,C
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,US,BO,XX,178,,specimens,,S,W
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,US,GY,,8,8,live,,T,W
2018,II,Cebus apella,Mammalia,Primates,Cebidae,Cebus,US,PE,,4,,specimens,ml,S,W
2018,II,Cebus capucinus,Mammalia,Primates,Cebidae,Cebus,CA,US,,,1,live,,T,C
2018,II,Cebus capucinus,Mammalia,Primates,Cebidae,Cebus,CU,GT,,4,,live,,Z,C
2018,II,Cebus capucinus,Mammalia,Primates,Cebidae,Cebus,TH,GT,,4,,live,,T,F
2018,II,Cebus capucinus,Mammalia,Primates,Cebidae,Cebus,US,CA,US,1,,live,,T,C
2018,II,Cebus capucinus,Mammalia,Primates,Cebidae,Cebus,ZA,FR,,,2,live,,Z,C
2018,II,Cebus libidinosus,Mammalia,Primates,Cebidae,Cebus,US,BO,,21,,specimens,,S,W
2018,II,Cebus olivaceus,Mammalia,Primates,Cebidae,Cebus,CN,GY,,57,47,live,,T,W
2018,II,Cebus olivaceus,Mammalia,Primates,Cebidae,Cebus,CN,GY,,40,,live,,Z,W
2018,II,Cebus olivaceus,Mammalia,Primates,Cebidae,Cebus,UA,BY,UA,,7,live,,Q,C
2018,II,Cebus olivaceus,Mammalia,Primates,Cebidae,Cebus,ZA,FR,MO,,2,live,,Z,I
