Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,CA,US,XX,,1,horn pieces,,Q,O
2018,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,DE,CI,,255,,specimens,,S,W
2018,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,DK,CM,,2,,trophies,,H,W
2018,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,CM,,2,,trophies,,H,W
2018,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,ES,CM,1,,trophies,,H,W
2018,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,GA,,1,,trophies,,H,W
2018,II,Cephalophus dorsalis,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,ZA,CG,1,,trophies,,H,W
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,CN,FR,CF,1,,bodies,,T,W
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,DE,CI,,215,,specimens,,S,W
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,DE,CM,,1,,trophies,,H,W
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,DE,US,,1,1,live,,Z,F
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,ES,CM,,1,,trophies,,P,W
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,CF,,4,,trophies,,H,W
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,CH,GA,1,,horn carvings,,T,O
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,CM,,1,,trophies,,H,W
2018,II,Cephalophus silvicultor,Mammalia,Artiodactyla,Bovidae,Cephalophus,US,GA,,1,,trophies,,H,I
