Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Cercopithecus diana,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,CI,,100,,specimens,,S,W
2018,II,Cercopithecus spp.,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,AU,JP,10,,specimens,ml,S,O
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,AM,CD,,,10,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,BD,CD,,,5,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,CD,,,25,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,UZ,CD,,10,live,,Z,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,50,,hair,g,S,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,PK,CD,,,10,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,20,20,live,,T,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,,11,specimens,g,S,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,11,,specimens,,S,W
2018,II,Cercopithecus ascanius,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,90,180,live,,T,W
2018,II,Cercopithecus campbelli,Mammalia,Primates,Cercopithecidae,Cercopithecus,PT,GW,,133,,specimens,,S,W
2018,II,Cercopithecus cephus,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,CG,,3,,hair,,S,W
2018,II,Cercopithecus cephus,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,GA,,1,,specimens,,S,W
2018,II,Cercopithecus cephus,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,4,live,,T,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,3,live,,T,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,skeletons,,S,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,skins,,S,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,,2,specimens,g,S,W
2018,II,Cercopithecus dryas,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,4,,specimens,,S,W
2018,II,Cercopithecus erythrogaster,Mammalia,Primates,Cercopithecidae,Cercopithecus,GB,LB,XX,2,,live,,Z,I
2018,II,Cercopithecus erythrotis,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,NG,,,5,specimens,,M,
2018,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,,1,specimens,g,S,W
2018,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,specimens,,S,W
2018,II,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,1,1,live,,T,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,BD,CD,,,4,live,,T,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,50,,hair,g,S,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,,5,live,,T,W
2018,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,3,3,live,,T,W
2018,II,Cercopithecus lomamiensis,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,skeletons,,S,W
2018,II,Cercopithecus lomamiensis,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,2,,specimens,,S,W
2018,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,JP,UG,,50,,hair,g,S,W
2018,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,TZ,,6,,specimens,,S,W
2018,II,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,1,1,live,,T,W
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,GH,,30,,live,,B,W
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,GH,,50,,live,,T,W
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,TG,,50,,live,,T,W
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,CH,XX,1,,live,,Z,I
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,CI,,420,,specimens,,S,W
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,NG,,,75,specimens,,M,
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,TG,,10,,live,,T,W
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,GH,,0.025,,specimens,kg,S,I
2018,II,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,GH,,25,,specimens,,S,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,AM,CD,,,10,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,BJ,CD,,,18,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,BE,CM,1,1,bodies,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,CD,,,25,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,UZ,CD,,18,live,,Z,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,ES,RU,,1,,live,,Z,C
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,IL,ES,DE,,1,live,,Z,C
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,IL,GB,,,3,live,,B,C
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,PK,CD,,,8,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,SG,FR,,1,1,live,,Z,C
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,15,20,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,BY,UA,,1,live,,Q,C
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,8,live,,T,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,CD,,1,,specimens,,S,W
2018,II,Cercopithecus neglectus,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,50,50,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,AU,BE,CD,,1,skulls,,H,O
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,BD,CD,,,10,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,BD,UZ,CD,,2,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,BD,UZ,CD,,2,live,,Z,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,BJ,CD,,,10,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,CD,,,10,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,CG,,1,,hair,,S,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,GA,,10,,specimens,,S,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,NG,,,99,specimens,,M,
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,PK,CD,,,10,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,TH,CD,,5,5,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,UA,CD,,,9,live,,T,W
2018,II,Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,Cercopithecus,UZ,CD,,4,4,live,,T,W
2018,II,Cercopithecus petaurista,Mammalia,Primates,Cercopithecidae,Cercopithecus,CN,GH,,3,,live,,T,W
2018,II,Cercopithecus petaurista,Mammalia,Primates,Cercopithecidae,Cercopithecus,PT,GW,,8,,specimens,ml,S,W
2018,II,Cercopithecus pogonias,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,GA,,15,,specimens,,S,W
2018,II,Cercopithecus preussi,Mammalia,Primates,Cercopithecidae,Cercopithecus,DE,NG,,,2,specimens,,M,
