Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,AE,FR,ET,,222.028999857,extract,g,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,AE,FR,ET,,0.625000000,extract,g,T,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,AT,TZ,,1,1,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,AT,ZA,,2,,skulls,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,AT,ZA,,1,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,BE,ZA,,1,,bodies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,BG,TZ,,1,1,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,BY,FR,ET,,18,extract,g,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CH,FR,ET,18900,,extract,g,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CH,FR,ET,,10,extract,g,T,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CH,FR,ET,,30.899999976,extract,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CH,FR,ET,10,,specimens,g,M,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CI,FR,ET,,3.200000048,extract,g,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CN,FR,ET,,1.800000012,extract,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CN,US,ZW,,1,trophies,,T,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CN,ZA,,1,,bodies,,E,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CN,ZA,,2,,live,,Z,C
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,CN,ZW,,1,,bodies,,E,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,DE,ZA,,3,,skins,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,DE,ZA,,2,,skulls,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,DE,ZA,,2,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,DK,ZA,,1,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,DK,ZW,,,2,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,EC,ES,ET,,500,musk,g,T,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,ES,ZA,,1,,bodies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,ES,ZA,,1,,skins,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,ES,ZA,,6,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,ES,ZA,,1,,trophies,,P,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,ES,ZW,,1,1,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,FR,CM,,2,,trophies,,,
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,FR,ET,,,200,musk,g,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,FR,ET,,,225,musk,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,FR,ET,,315,,musk,kg,,
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,FR,ZA,,1,,bodies,,,
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,GB,ZA,,1,,skins,,,
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,HU,ZA,,1,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,IN,FR,ET,,128.29899979,extract,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,IT,TG,,7,,live,,,
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,JP,ET,,,50,musk,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,JP,FR,ET,,2350,extract,g,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,JP,FR,ET,3.85,1.5,extract,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,JP,FR,ET,,2,extract,kg,T,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,JP,FR,ET,,1.100000001,musk,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,KP,ET,,,240,musk,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,KR,ET,,,480,musk,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,KR,FR,ET,,3,extract,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,MX,FR,ET,,100,extract,g,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,MX,ZW,,,1,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,NZ,ZA,,1,,skins,,P,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,NZ,ZA,,1,,skulls,,P,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,NZ,ZW,,,1,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,OM,ET,,,5,musk,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,PK,FR,ET,,31.139999571,extract,g,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,PL,ZA,,1,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,PT,ZW,,1,1,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,RU,ZW,,,2,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,TR,ES,ET,,0.003,oil,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,TR,FR,ET,,5,extract,kg,T,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,DE,CI,2,,specimens,,S,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,FR,CM,1,,trophies,,H,I
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,TZ,,1,1,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZA,ZM,1,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZA,,5,,live,,T,C
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZA,,1,,skins,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZA,,1,,skulls,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZA,,1,,trophies,,H,R
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZA,,64,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZA,,1,,trophies,,P,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZM,,2,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZW,ZA,1,,trophies,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZW,,1,3,skins,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZW,,1,1,skulls,,H,W
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZW,,2,,trophies,,H,I
2018,III,Civettictis civetta,Mammalia,Carnivora,Viverridae,Civettictis,US,ZW,,13,7,trophies,,H,W
