Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Damaliscus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,CH,ZA,,1,,trophies,,H,W
2018,II,Damaliscus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,LT,XX,,1,,trophies,,H,W
2018,II,Damaliscus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,SK,ZA,,1,,trophies,,H,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,CN,ZA,,30,,bodies,,E,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,DE,ZA,,2,,skin pieces,,H,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,DE,ZA,,1,,trophies,,H,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,DK,ZA,,4,,trophies,,H,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,ES,ZA,,3,,trophies,,H,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,HU,ZA,,1,,trophies,,H,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,PL,ZA,,1,,trophies,,H,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,SE,ZA,,1,,trophies,,H,W
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,US,ZA,,2,,horns,,H,I
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,US,ZA,,1,,trophies,,H,C
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,US,ZA,,4,,trophies,,H,I
2018,II,Damaliscus pygargus pygargus,Mammalia,Artiodactyla,Bovidae,Damaliscus,US,ZA,,12,,trophies,,H,W
