Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Felis nigripes,Mammalia,Carnivora,Felidae,Felis,CN,ZA,,4,,live,,Z,C
2018,I,Felis nigripes,Mammalia,Carnivora,Felidae,Felis,US,ZA,,57,,specimens,,Z,W
2018,II,Felis spp.,Mammalia,Carnivora,Felidae,Felis,US,RU,,1,,live,,T,I
2018,II,Felis chaus,Mammalia,Carnivora,Felidae,Felis,BY,CZ,,,1,live,,T,C
2018,II,Felis chaus,Mammalia,Carnivora,Felidae,Felis,JP,LK,,,4,live,,Z,C
2018,II,Felis chaus,Mammalia,Carnivora,Felidae,Felis,MD,AM,,4,,live,,Q,C
2018,II,Felis chaus,Mammalia,Carnivora,Felidae,Felis,MD,AM,,,4,live,,Z,C
2018,II,Felis lybica,Mammalia,Carnivora,Felidae,Felis,CN,ZA,,6,,live,,Z,C
2018,II,Felis lybica,Mammalia,Carnivora,Felidae,Felis,HU,ZA,,2,,trophies,,H,W
2018,II,Felis margarita,Mammalia,Carnivora,Felidae,Felis,DK,QA,,6,,live,,Z,C
2018,II,Felis margarita,Mammalia,Carnivora,Felidae,Felis,TH,SD,,38,,live,,T,W
2018,II,Felis margarita,Mammalia,Carnivora,Felidae,Felis,US,SD,,10,,live,,T,I
2018,II,Felis margarita,Mammalia,Carnivora,Felidae,Felis,US,SD,,47,,live,,T,W
2018,II,Felis margarita,Mammalia,Carnivora,Felidae,Felis,US,SS,,10,,live,,T,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,AT,ZW,,,1,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,BE,ZW,,1,,skins,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,BE,ZW,,1,,skulls,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,CA,NL,XX,,1,bodies,,Q,O
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,CH,AT,RO,1,1,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,CZ,ZA,,1,,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,DE,ZA,,1,,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,DE,ZW,,1,,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,DK,ZW,,,1,skulls,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,ES,ZA,,3,,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,ES,ZW,,1,1,skins,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,ES,ZW,,1,1,skulls,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,FI,CH,,1,,live,,Z,C
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,FR,TD,,1,,trophies,,P,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,GR,CH,,1,,live,,Z,C
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,HR,RS,,,1,skulls,,E,O
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,IT,ZA,,2,,carvings,,E,C
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,IT,ZA,,2,,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,KR,US,XX,,1,garments,,Q,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,NL,CA,XX,1,,bodies,,Q,O
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,NZ,ZA,,1,,bodies,,T,C
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,PL,ZW,,1,1,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,RS,HR,RS,1,,skulls,,E,O
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,RU,RS,,,1,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ET,,2,1,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,GB,GB,,1,bodies,,T,O
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,GB,XX,1,,bodies,,T,O
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,GB,XX,,1,trophies,,T,O
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,GB,,1,,bodies,,T,O
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,NA,,2,1,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZA,,3,,skins,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZA,,1,,skulls,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZA,,5,,skulls,,T,I
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZA,,3,,skulls,,T,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZA,,1,,trophies,,H,I
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZA,,24,,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZA,,1,,trophies,,P,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZW,,,2,skins,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZW,,,1,skulls,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,ZW,,9,5,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,ZA,US,ZA,,1,trophies,,H,W
2018,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,ZA,ZW,,,1,trophies,,H,W
2019,II,Felis silvestris,Mammalia,Carnivora,Felidae,Felis,US,RS,,,2,trophies,,H,W
