Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,AT,ZA,,1,,trophies,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,AT,ZW,,1,1,skins,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,BG,ZA,,1,,trophies,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CA,US,CA,,2,live,,P,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CA,US,CA,,1,live,,P,F
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CA,US,,,2,live,,T,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CH,DE,ZA,1,2,live,,T,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CH,FR,,1,2,live,,T,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CH,NL,,1,,live,,T,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CL,GB,,,1,live,,T,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CN,TG,,24,,live,,T,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CN,ZA,,3,,bodies,,E,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CN,ZA,,4,,live,,Z,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,CZ,ZA,,1,,trophies,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,DE,SN,ZA,1,,live,,T,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,DE,ZA,,11,,live,,T,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,DE,ZA,,2,,skins,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,DE,ZA,,2,,trophies,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,DK,ZA,,4,,trophies,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,ES,ZA,,1,,bodies,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,ES,ZA,,2,,trophies,,H,C
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,ES,ZA,,5,,trophies,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,ES,ZA,,2,,trophies,,P,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,ES,ZW,,1,1,trophies,,H,W
2018,II,Leptailurus serval,Mammalia,Carnivora,Felidae,Leptailurus,HU,ZA,,2,,trophies,,H,W
