Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Loxodonta spp.,Mammalia,Proboscidea,Elephantidae,Loxodonta,OM,US,XX,1,,ivory carvings,,L,I
2018,I,Loxodonta spp.,Mammalia,Proboscidea,Elephantidae,Loxodonta,OM,US,XX,1,,leather products (small),,L,I
2018,I,Loxodonta spp.,Mammalia,Proboscidea,Elephantidae,Loxodonta,OM,US,XX,1,,tusks,,L,I
2018,I,Loxodonta spp.,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,IN,,,2,specimens,,Q,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,CH,XX,,1,ivory carvings,,T,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AE,FR,MO,,1,ivory carvings,,T,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CA,XX,7,,ivory carvings,,Q,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CA,XX,26,,piano keys,,Q,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CH,XX,,7,ivory carvings,,Q,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,CH,XX,1,1,ivory carvings,,T,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,JP,,,1,ivory carvings,,Q,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,LI,XX,3,,ivory carvings,,Q,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,LI,XX,1,,ivory carvings,,T,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,NO,XX,50,50,piano keys,,P,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,US,XX,,23,ivory carvings,,Q,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,US,XX,,16,ivory pieces,,Q,O
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AT,ZM,,1,,trophies,,H,W
2018,I,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,AU,BE,CD,,1,skulls,,H,O
