Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Lynx pardinus,Mammalia,Carnivora,Felidae,Lynx,CH,ES,,,27,specimens,ml,S,W
2018,I,Lynx pardinus,Mammalia,Carnivora,Felidae,Lynx,CH,ES,,,26,specimens,,S,W
2018,I,Lynx pardinus,Mammalia,Carnivora,Felidae,Lynx,RU,ES,,,51,specimens,ml,S,C
2018,II,Lynx spp.,Mammalia,Carnivora,Felidae,Lynx,CN,US,XX,,1,garments,,T,I
2018,II,Lynx spp.,Mammalia,Carnivora,Felidae,Lynx,US,FI,,197,,teeth,,T,W
2018,II,Lynx spp.,Mammalia,Carnivora,Felidae,Lynx,US,PL,,2,,garments,,P,I
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,AE,GR,CA,,276,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,AE,GR,US,,30,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,BY,GR,CA,,43,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,FI,CA,,317,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,FI,US,,41,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,GR,CA,,4,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,GR,US,,8,skin pieces,kg,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,US,CA,,1,bodies,,Q,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,US,CA,,1,skins,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,US,CA,,2,trophies,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,US,,,1,garments,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,US,,,886,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,US,,,2,specimens,,S,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CA,US,,,1,trophies,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CH,CA,,1,,trophies,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CH,DE,CA,1,1,skulls,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CN,CA,US,29,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CN,CA,,2,,bodies,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CN,CA,,2.8,,rug,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CN,CA,,813,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,CN,IT,CA,1,1,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,DE,CA,US,293,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,DE,CA,,5,,fur products (large),,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,DE,CA,,1,,rug,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,DE,CA,,1045,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,DE,CA,,10,,skulls,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,DE,CA,,1,,trophies,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,DE,UA,CA,153,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,DE,UA,US,48,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,EG,GR,CA,,10,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,ES,CA,,1,,trophies,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,FI,CA,US,41,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,FI,CA,,287,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,FI,US,,,4,garments,,Q,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,FR,CA,US,9,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,FR,CA,,21,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,FR,CA,,3,,skulls,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GB,CA,US,6,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GB,CA,,1,,bodies,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GB,CA,,816,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GB,CA,,13,,skulls,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GR,AE,CA,20,,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GR,CA,US,114,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GR,CA,,922,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GR,HK,CA,3,3,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GR,KP,CA,2,,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GR,MK,CA,8,,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GR,US,CA,28,81,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,GR,US,,1,329,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,HK,GR,CA,6,6,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,HK,SM,CA,29,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,IT,CA,US,25,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,IT,CA,,76,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,JP,HK,CA,5,5,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,JP,US,,2,3,skins,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,KP,GR,CA,,10,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,KZ,GR,CA,,46,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,KZ,IT,CA,,1,garments,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,MK,GR,CA,,1,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,NA,US,CA,,1,trophies,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,NO,GR,CA,,1,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,NO,GR,CA,,9.250,plates,m2,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,NO,GR,US,,1,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,NO,GR,US,,0.8715,plates,m2,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,NZ,US,,1,,skins,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,PL,CA,,4,,trophies,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,PT,CA,,2,,trophies,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RO,CA,,1,,skulls,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RO,CA,,1,,trophies,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,GR,CA,,1,garments,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,GR,CA,,806,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,GR,CA,,227,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,GR,US,,35,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,IT,CA,,2,garments,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,IT,CA,,1,skin pieces,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,IT,US,,2,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,TR,CA,,319,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,RU,TR,US,,240,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,TR,CA,US,186,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,TR,CA,,483,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,TR,FI,CA,30,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,TR,GR,CA,4,,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,TR,GR,CA,,4,garments,,,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,TR,GR,US,1,1,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,UA,DE,CA,,153,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,UA,DE,US,,48,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,UA,GR,CA,,1,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,UA,IT,CA,,1,garments,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,UA,IT,CA,,1,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,US,23,,skins,,T,I
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,US,351,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,1,,bodies,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,1,,bodies,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,1,,bodies,,Q,C
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,24,,claws,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,12,,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,1,,live,,T,C
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,2,,live,,T,F
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,2,,plates,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,1,,rug,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,1,,skins,,H,U
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,51,,skins,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,22,,skins,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,21,,skins,,T,I
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,1619,,skins,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,24,,skulls,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,3,,skulls,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,10,,skulls,,T,I
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,5,,skulls,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,39,,teeth,,S,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,167,,teeth,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,1,,trophies,,H,I
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,81,,trophies,,H,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,4,,trophies,,P,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,GR,CA,53,42,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,GR,US,,8,garments,,T,W
2018,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,ZA,DE,CA,,2,skins,,T,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,AT,RU,,,2,skins,,H,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,BY,RU,,,2,bodies,,Q,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,CA,RU,,,39,skins,,T,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,CH,AT,RU,1,1,trophies,,P,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,CH,DE,CH,1,,bodies,,Q,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,CH,DE,XX,1,,bodies,,Q,O
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,CH,DE,,1,1,skins,,T,C
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,CN,DE,,2,6,live,,Z,C
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,CN,SK,DE,,8,live,,T,C
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,CN,SK,DE,6,,live,,Z,C
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,DE,CH,,1,,derivatives,,P,C
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,DE,CH,,2,,live,,N,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,DE,RU,,,1,skins,,H,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,DE,RU,,,2,skins,,P,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,GB,RU,,,1,skins,,T,W
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,GE,AM,,1,1,live,,Z,C
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,HR,RS,,,1,skulls,,E,O
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,JP,FR,,1,1,live,,Z,F
2018,II,Lynx lynx,Mammalia,Carnivora,Felidae,Lynx,KG,KZ,RU,,1,live,,Q,C
