Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,RU,FR,IL,,1,live,,T,C
2018,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,RU,FR,,,2,live,,Z,C
2018,I,Macaca silenus,Mammalia,Primates,Cercopithecidae,Macaca,RU,XV,,3,,live,,Z,C
2018,I,Macaca sylvanus,Mammalia,Primates,Cercopithecidae,Macaca,CN,FR,MO,,1,bodies,,T,U
2018,I,Macaca sylvanus,Mammalia,Primates,Cercopithecidae,Macaca,CN,FR,XX,1,,bodies,,T,U
2018,I,Macaca sylvanus,Mammalia,Primates,Cercopithecidae,Macaca,JP,MA,,,10,specimens,,S,W
2018,I,Macaca sylvanus,Mammalia,Primates,Cercopithecidae,Macaca,KZ,RU,,1,1,live,,Q,C
2018,I,Macaca sylvanus,Mammalia,Primates,Cercopithecidae,Macaca,MD,UA,UA,1,,live,,Q,C
2018,II,Macaca spp.,Mammalia,Primates,Cercopithecidae,Macaca,US,CN,,60,,specimens,ml,T,C
2018,II,Macaca spp.,Mammalia,Primates,Cercopithecidae,Macaca,US,HK,XX,1,,medicine,,P,I
2018,II,Macaca spp.,Mammalia,Primates,Cercopithecidae,Macaca,US,HK,,24,,medicine,,P,I
2018,II,Macaca spp.,Mammalia,Primates,Cercopithecidae,Macaca,US,ID,,2,,skulls,,T,I
2018,II,Macaca assamensis,Mammalia,Primates,Cercopithecidae,Macaca,UA,BY,UA,,2,live,,Q,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AE,US,MU,,2,specimens,,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AE,US,VN,,28,specimens,,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AR,US,MU,,7,specimens,,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AR,US,VN,,8,specimens,,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AR,US,VN,,3,specimens,,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AT,MU,,1,,skins,,P,W
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AT,MU,,1,,skulls,,P,W
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,CN,,,260,derivatives,ml,T,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,CN,,,583,specimens,ml,T,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,DE,CN,,277.1,specimens,ml,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,GB,MU,,20,specimens,,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,GB,MU,,110,specimens,,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,NZ,AU,,3.25,specimens,ml,S,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,SG,VN,,13,specimens,,S,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,CN,,9,specimens,ml,S,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,CN,,1885,specimens,,T,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,KH,,700,specimens,ml,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,MU,,710,specimens,ml,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,MU,,30,specimens,ml,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,MU,,17,specimens,ml,M,W
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,MU,,55,specimens,,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,VN,,198,specimens,,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,,,60,specimens,ml,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,AU,US,,,899,specimens,,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,CA,CN,293.3,,specimens,ml,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,CA,CN,2180,,specimens,,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,CA,MU,106,,specimens,ml,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,CN,,134.4,,specimens,ml,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,CN,,,48,specimens,ml,T,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,CN,1958.6,630,specimens,ml,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,CN,,1248,specimens,ml,T,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,CN,,224,specimens,,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,CN,,81,specimens,,T,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,KH,320,,specimens,,M,C
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,KH,,320,specimens,,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,MU,30,,specimens,ml,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,MU,,41,specimens,ml,T,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,XV,11,,specimens,ml,M,F
2018,II,Macaca fascicularis,Mammalia,Primates,Cercopithecidae,Macaca,BE,US,,40,,specimens,ml,M,C
