Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Mustela nigripes,Mammalia,Carnivora,Mustelidae,Mustela,US,CA,US,4,,live,,S,C
2018,I,Mustela nigripes,Mammalia,Carnivora,Mustelidae,Mustela,US,CA,,8,,live,,S,C
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,AU,DE,CN,,0.08342,hair,kg,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,AU,DE,CN,,555.473,hair products,g,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,AU,DE,CN,,0.03134,hair products,kg,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,AU,ES,CN,,219,hair,g,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,AU,FR,CN,,2270,hair products,,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,BR,DE,CN,,3.4,hair,kg,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,BR,DE,RU,,0.785,hair products,kg,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,BR,DE,XX,2.4,,hair,kg,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CA,DE,CN,,10,garments,,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CA,DE,CN,,20.751,hair,g,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CA,DE,CN,,24.88,hair products,g,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CA,ES,CN,,122.84,hair,g,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CA,US,CN,,4391,hair products,,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CN,DE,RU,,98,fur products (large),,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CN,ES,CN,,1635.37,hair,g,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CN,ES,CN,696.9,,hair products,g,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CZ,RU,,11,,live,,T,C
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CZ,RU,,11,,live,,,C
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,CZ,RU,,,11,live,,,
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,DE,CN,,172,,garments,,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,DE,CN,,52.486,,hair,kg,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,DE,CN,,23.724,,live,kg,T,U
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,DE,RU,,1364,,skins,,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,DE,RU,,,2100,tails,,,
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,GB,CN,,303,,hair,kg,,
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,GB,US,CN,,3,hair products,,T,W
2018,III,Mustela sibirica,Mammalia,Carnivora,Mustelidae,Mustela,HK,US,XX,,80,hair products,,T,I
