Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Pan paniscus,Mammalia,Primates,Hominidae,Pan,DE,US,,2,,live,,B,F
2018,I,Pan paniscus,Mammalia,Primates,Hominidae,Pan,DE,US,,,2,live,,Z,F
2018,I,Pan paniscus,Mammalia,Primates,Hominidae,Pan,SG,US,CD,199,,specimens,ml,S,R
2018,I,Pan paniscus,Mammalia,Primates,Hominidae,Pan,US,DK,XX,,1,specimens,,Z,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,AU,NL,NL,,0.025,specimens,kg,M,C
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,AU,NL,NL,,0.075,specimens,kg,M,F
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,AU,NL,SL,,0.125,specimens,kg,M,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,AU,NL,,,0.075,specimens,kg,M,F
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,CZ,CH,IL,,1,live,,Z,I
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,CG,,24,,hair,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,CI,,501,,specimens,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,GA,,300,,bones,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,GA,,2,,skulls,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,GA,,78,,specimens,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,NG,,80,,hair,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,SL,,49,,hair,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,SL,,1,,skulls,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,UG,,1,,specimens,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DE,US,CM,,6,specimens,,S,W
2018,I,Pan troglodytes,Mammalia,Primates,Hominidae,Pan,DK,GN,,80,,specimens,,S,W
