Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Panthera spp.,Mammalia,Carnivora,Felidae,Panthera,FR,MZ,,,1,trophies,,H,W
2018,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,BR,ZA,,4,,trophies,,H,C
2018,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,ES,RU,CH,1,,live,,Z,C
2018,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,IR,IE,,,1,live,,Z,C
2018,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,OM,US,XX,1,,claws,,L,I
2018,I,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,OM,US,XX,1,,jewellery,,L,I
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,AR,BR,,,2,live,,N,W
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,CH,AT,BR,1,,claws,,Q,W
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,CN,ZA,,18,,live,,Z,C
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,IT,ZA,,1,,trophies,,P,F
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,JP,CN,,2,2,live,,Z,C
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,OM,US,XX,1,,skins,,L,I
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,PH,AE,,3,,live,,Z,C
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,PH,DK,,2,2,live,,Z,C
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,RU,KZ,,1,,live,,Z,C
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,RU,UZ,,,1,skins,,P,O
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,UA,SK,,,3,live,,B,C
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,US,BR,,1,,claws,,P,I
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,US,BR,,1,,teeth,,P,I
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,US,CA,,1,,live,,Z,C
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,US,MX,,1,,garments,,T,I
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,US,PE,,1,,leather products (small),,P,I
2018,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,US,PE,,2,,teeth,,P,I
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AE,DE,,,1,live,,Z,C
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AE,SE,,,1,live,,Z,C
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AR,MZ,,,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AR,NA,,,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AT,NA,,2,,skulls,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AT,NA,,5,4,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AT,TZ,,2,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,AU,FR,,,1,live,,Z,C
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BE,CF,ZW,1,,skulls,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BE,MZ,,1,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BE,NA,,1,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BE,TZ,,1,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BE,ZW,,1,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BG,NA,,1,,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BG,TZ,,,1,skins,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,BG,TZ,,4,3,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,MZ,,,1,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,TZ,,,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,US,XX,,1,teeth,,Q,O
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,ZM,,,2,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CA,ZW,,,3,trophies,,H,W
2018,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,CH,AT,NA,1,1,trophies,,H,W
