Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Papio spp.,Mammalia,Primates,Cercopithecidae,Papio,US,NA,,2,,trophies,,H,W
2018,II,Papio spp.,Mammalia,Primates,Cercopithecidae,Papio,US,ZA,,2,,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CA,KE,,,171,specimens,g,T,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CA,KE,,,45,specimens,ml,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CH,US,,,39,specimens,ml,M,F
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CN,JP,,,3,live,,T,C
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CN,JP,,3,,live,,Z,C
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CN,SD,,40,,live,,T,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,CU,GT,,6,,live,,Z,C
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,DE,NG,,,40,specimens,,M,
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,DE,US,,453,902,specimens,,M,F
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,ES,CM,,1,,skulls,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,FR,TZ,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,FR,US,,714,,specimens,ml,M,F
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,FR,US,,,439,specimens,,M,F
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,IT,TZ,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,JP,US,,110,110,specimens,ml,M,F
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,LT,TZ,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,RU,TZ,,,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,TH,US,,,744,specimens,ml,S,C
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,BE,KE,100,100,specimens,ml,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,CA,,24,,specimens,,T,I
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,CM,,4,,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,ET,,,2,skulls,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,ET,,3,1,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,FR,CF,3,,specimens,,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,FR,ET,11,,specimens,,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,FR,XX,3,,specimens,,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,288,,specimens,ml,S,C
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,,2,specimens,ml,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,KE,,,150,specimens,,S,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,NA,XX,1,,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,TZ,,,1,skins,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,TZ,,2,3,skulls,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,TZ,,4,2,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,UG,,1,,skins,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,UG,,2,,skulls,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,UG,,4,,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,ZA,TZ,1,,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,US,ZA,XX,2,,trophies,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,ZA,ET,,,1,skulls,,H,W
2018,II,Papio anubis,Mammalia,Primates,Cercopithecidae,Papio,ZA,ET,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,AR,MZ,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,AT,TZ,,,1,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,BE,TZ,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,BE,ZA,XX,1,,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,BG,TZ,,,2,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,BG,TZ,,2,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,DE,TZ,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,DK,TZ,,,1,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,DK,TZ,,,1,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,DK,ZM,,2,,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,EE,ZA,MZ,1,,trophies,,T,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ES,MZ,,,1,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ES,MZ,,2,,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ES,TZ,,1,3,skulls,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ES,TZ,,1,,trophies,,H,W
2018,II,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,ES,ZA,MZ,1,,skulls,,H,W
