Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Pteropus spp.,Mammalia,Chiroptera,Pteropodidae,Pteropus,LK,KW,,1,,live,,P,C
2018,I,Pteropus tonganus,Mammalia,Chiroptera,Pteropodidae,Pteropus,FR,US,FR,24,,teeth,,S,W
2018,I,Pteropus tonganus,Mammalia,Chiroptera,Pteropodidae,Pteropus,NC,US,NC,,24,specimens,,S,W
2018,I,Pteropus tonganus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,FR,,,58,specimens,g,S,W
2018,II,Pteropus spp.,Mammalia,Chiroptera,Pteropodidae,Pteropus,AU,FR,,,0.100000001,specimens,kg,S,W
2018,II,Pteropus spp.,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,FR,,,115,specimens,g,S,W
2018,II,Pteropus admiralitatum,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,AU,SB,28,,specimens,,S,W
2018,II,Pteropus admiralitatum,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,SB,,4,,specimens,,S,W
2018,II,Pteropus alecto,Mammalia,Chiroptera,Pteropodidae,Pteropus,SG,AU,,30,,bodies,,S,W
2018,II,Pteropus alecto,Mammalia,Chiroptera,Pteropodidae,Pteropus,SG,AU,,11520,,specimens,,S,W
2018,II,Pteropus alecto,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,AU,,0.511,,specimens,kg,S,W
2018,II,Pteropus alecto,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,SG,,1,,derivatives,,S,U
2018,II,Pteropus anetianus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,ID,XX,5,,live,,T,W
2018,II,Pteropus cognatus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,SB,,1,,specimens,,S,W
2018,II,Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,Pteropus,DE,LK,,,600,specimens,,S,W
2018,II,Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,Pteropus,DE,LK,,,900,specimens,,T,W
2018,II,Pteropus giganteus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,AR,LK,1,,skeletons,,S,W
2018,II,Pteropus hypomelanus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,PH,,1,,specimens,,S,I
2018,II,Pteropus hypomelanus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,PH,,4,4,specimens,,S,W
2018,II,Pteropus livingstonii,Mammalia,Chiroptera,Pteropodidae,Pteropus,FR,JE,,5,5,live,,Z,C
2018,II,Pteropus livingstonii,Mammalia,Chiroptera,Pteropodidae,Pteropus,GB,JE,KM,,1,specimens,,S,W
2018,II,Pteropus livingstonii,Mammalia,Chiroptera,Pteropodidae,Pteropus,GB,JE,,,3,specimens,,S,C
2018,II,Pteropus livingstonii,Mammalia,Chiroptera,Pteropodidae,Pteropus,JE,FR,GB,,1,live,,Z,F
2018,II,Pteropus livingstonii,Mammalia,Chiroptera,Pteropodidae,Pteropus,JE,FR,JE,,2,live,,Z,F
2018,II,Pteropus mahaganus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,AU,SB,2,,specimens,,S,W
2018,II,Pteropus ornatus,Mammalia,Chiroptera,Pteropodidae,Pteropus,FR,FR,,,429.35000038,specimens,g,S,W
2018,II,Pteropus ornatus,Mammalia,Chiroptera,Pteropodidae,Pteropus,NC,US,NC,,52,specimens,,S,W
2018,II,Pteropus ornatus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,NC,,9,,specimens,,S,W
2018,II,Pteropus poliocephalus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,AU,,0.401,,specimens,kg,S,W
2018,II,Pteropus pumilus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,PH,,11,11,specimens,,S,W
2018,II,Pteropus rayneri,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,AU,SB,11,,specimens,,S,W
2018,II,Pteropus rayneri,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,SB,,2,,specimens,,S,W
2018,II,Pteropus rennelli,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,SB,,2,,specimens,,S,W
2018,II,Pteropus rodricensis,Mammalia,Chiroptera,Pteropodidae,Pteropus,GB,JE,XX,,1,specimens,,S,W
2018,II,Pteropus rodricensis,Mammalia,Chiroptera,Pteropodidae,Pteropus,GB,JE,,,21,bodies,,S,C
2018,II,Pteropus rufus,Mammalia,Chiroptera,Pteropodidae,Pteropus,SG,US,MG,126.836,,specimens,ml,S,W
2018,II,Pteropus vampyrus,Mammalia,Chiroptera,Pteropodidae,Pteropus,IT,ID,,,56,live,,T,W
2018,II,Pteropus vampyrus,Mammalia,Chiroptera,Pteropodidae,Pteropus,KR,ID,,,9,live,,T,W
2018,II,Pteropus vampyrus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,ID,,,52,live,,T,W
2018,II,Pteropus vetulus,Mammalia,Chiroptera,Pteropodidae,Pteropus,CN,FR,MO,,2,carvings,,Q,O
2018,II,Pteropus vetulus,Mammalia,Chiroptera,Pteropodidae,Pteropus,NC,US,NC,,8,specimens,,S,W
2018,II,Pteropus vetulus,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,NC,,9,,specimens,,S,W
2018,II,Pteropus woodfordi,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,AU,SB,28,,specimens,,S,W
2018,II,Pteropus woodfordi,Mammalia,Chiroptera,Pteropodidae,Pteropus,US,SB,,1,,specimens,,S,W
