Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,AT,AR,,1,,trophies,,H,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,AT,CA,,1,,trophies,,H,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,AU,US,CA,,1,trophies,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,AU,US,,,5,trophies,,H,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,AU,US,,,2,trophies,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,BE,CA,XX,1,,skulls,,P,O
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,BG,CA,,1,,trophies,,H,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,CA,,1,bodies,,Q,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,CA,,1,skulls,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,CA,,1,trophies,,H,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,CA,,5,trophies,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,XX,,1,skulls,,Q,O
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,,,1,live,,Q,F
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,,,2,live,,T,F
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,,,3,trophies,,H,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CA,US,,,1,trophies,,P,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CN,CA,,3,,bodies,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CN,CA,,1,,rug,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CN,CA,,1,,skins,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CN,NO,CA,,1,rug,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CN,US,,,4,trophies,,T,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CN,ZA,,10,,live,,Z,C
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,CZ,CA,,2,,trophies,,H,W
2018,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,DE,AR,,1,,trophies,,H,C
