Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Saguinus bicolor,Mammalia,Primates,Cebidae,Saguinus,GB,JE,PT,,3,specimens,ml,S,C
2018,I,Saguinus bicolor,Mammalia,Primates,Cebidae,Saguinus,GB,JE,,,7,bodies,,S,C
2018,I,Saguinus bicolor,Mammalia,Primates,Cebidae,Saguinus,GB,JE,,,2,live,,Z,C
2018,I,Saguinus bicolor,Mammalia,Primates,Cebidae,Saguinus,GB,JE,,,13,specimens,,S,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,CN,ZA,,12,,live,,B,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,GE,DE,,3,3,live,,T,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,HK,SG,,3,3,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,ID,SG,,,5,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,IL,DE,,,1,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,IL,LT,,,1,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,IL,PL,,,1,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,IL,PT,GB,,1,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,MC,FR,,,1,live,,Z,F
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,NZ,SG,,,1,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,RU,CZ,,1,1,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,RU,EE,,,1,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,TH,BE,CZ,,4,live,,T,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,TH,BE,CZ,4,,live,,Z,C
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,US,FR,MO,,30,specimens,ml,M,O
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,US,FR,XX,18,,specimens,ml,M,O
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,US,FR,XX,6,,specimens,ml,T,O
2018,I,Saguinus oedipus,Mammalia,Primates,Cebidae,Saguinus,XX,RU,EE,,1,live,,Z,C
2018,II,Saguinus fuscicollis,Mammalia,Primates,Cebidae,Saguinus,TH,CZ,,9,,live,,B,C
2018,II,Saguinus fuscicollis,Mammalia,Primates,Cebidae,Saguinus,TH,CZ,,,9,live,,T,C
2018,II,Saguinus fuscicollis,Mammalia,Primates,Cebidae,Saguinus,US,PE,,5,,specimens,ml,S,W
2018,II,Saguinus fuscicollis,Mammalia,Primates,Cebidae,Saguinus,US,PE,,186,,specimens,,S,W
2018,II,Saguinus imperator,Mammalia,Primates,Cebidae,Saguinus,BR,DE,,,1,live,,B,C
2018,II,Saguinus imperator,Mammalia,Primates,Cebidae,Saguinus,BR,DK,,,1,live,,Z,C
2018,II,Saguinus imperator,Mammalia,Primates,Cebidae,Saguinus,FR,JE,,2,2,live,,Z,C
