Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2018,I,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,BR,HR,,4,,trophies,,H,W
2018,I,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,BR,RU,,4,,trophies,,H,W
2018,I,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,HR,RS,,,1,bones,,E,O
2018,I,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,RS,HR,RS,1,,bones,,E,O
2018,I,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,US,CN,,0.01,,gall,kg,P,I
2018,I,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,US,MN,,50,,extract,,S,W
2018,I,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,US,MN,,1000,,hair,,S,W
2018,I,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,US,MN,,40,,skin pieces,,S,W
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,CA,FR,,,1,live,,Z,C
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,CZ,RU,,2,,live,,Z,C
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,DE,US,CN,,2,teeth,,S,W
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,DE,US,MM,,1,teeth,,S,W
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,GB,GG,XX,,1,skulls,,E,W
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,GB,VN,XX,87,,specimens,,S,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,KR,RU,,,1,live,,N,W
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,CN,,20,,medicine,,P,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,GB,XX,,1,bodies,,T,O
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,GB,,1,,bodies,,T,O
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,HK,CN,10,,gall,,P,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,RU,,,1,skins,,H,W
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,TH,,1,,teeth,,P,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,VN,XX,28,,medicine,,P,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,VN,,5,,claws,,P,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,VN,,9,,claws,,T,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,VN,,1,,jewellery,,P,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,VN,,8884,,medicine,,P,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,VN,,9,,medicine,,T,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,VN,,1,,teeth,,P,I
2018,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,XX,LA,6,,medicine,,P,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,OM,US,XX,,1,medicine,,L,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,CA,,9.07194,,meat,kg,H,W
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,CA,,1,,trophies,,H,W
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,CN,XX,59,,medicine,,P,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,CN,,63,,medicine,,P,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,CN,,14,,medicine,,T,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,HK,XX,24,,medicine,,T,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,KH,XX,816,,medicine,,P,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,KH,XX,48,,medicine,,T,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,MX,XX,1,,skulls,,P,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,RU,,1,,meat,,P,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,XX,,160,,medicine,,P,I
2018,II,Ursus spp.,Mammalia,Carnivora,Ursidae,Ursus,US,XX,,40,,medicine,,T,I
2018,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,AR,US,,,1,trophies,,H,W
2018,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,AT,CA,,6,,trophies,,H,W
2018,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,AU,US,CA,,1,trophies,,T,W
2018,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,BE,CA,,2,,skins,,P,W
2018,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,BR,CA,,1,,trophies,,H,W
2018,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,CA,DE,CA,,1,skulls,,T,W
2018,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,CA,US,CA,,14,meat,kg,H,W
2018,II,Ursus americanus,Mammalia,Carnivora,Ursidae,Ursus,CA,US,CA,,93,trophies,,H,W
